recno,rho,T,P,u
410,450.0,300.0,2.356106E7,68297.0
411,500.0,300.0,2.820648E7,74023.67
412,600.0,300.0,3.849636E7,84999.1
413,700.0,300.0,5.005654E7,95444.69
414,800.0,300.0,6.282566E7,105454.1
415,900.0,300.0,7.675292E7,115095.0
416,1000.0,300.0,9.17952E7,124418.4
417,1200.0,300.0,1.25081E8,142263.7
418,1400.0,300.0,1.62435E8,159222.9
419,1600.0,300.0,2.036595E8,175455.1
420,1800.0,300.0,2.485672E8,191077.9
421,3.0E-8,500.0,6.187439E-8,-1584.967
422,4.0E-8,500.0,8.249918E-8,-1584.967
423,5.0E-8,500.0,1.03124E-7,-1584.967
424,6.0E-8,500.0,1.237488E-7,-1584.967
425,7.0E-8,500.0,1.443736E-7,-1584.967
426,8.0E-8,500.0,1.649985E-7,-1584.967
427,9.0E-8,500.0,1.856233E-7,-1584.967
428,1.0E-7,500.0,2.062481E-7,-1584.967
429,2.0E-7,500.0,4.124965E-7,-1584.967
430,3.0E-7,500.0,6.187452E-7,-1584.967
431,4.0E-7,500.0,8.24994E-7,-1584.967
432,5.0E-7,500.0,1.031243E-6,-1584.967
433,6.0E-7,500.0,1.237493E-6,-1584.967
434,7.0E-7,500.0,1.443742E-6,-1584.967
435,8.0E-7,500.0,1.649993E-6,-1584.967
436,9.0E-7,500.0,1.856243E-6,-1584.967
437,1.0E-6,500.0,2.062494E-6,-1584.967
438,2.0E-6,500.0,4.125019E-6,-1584.967
439,3.0E-6,500.0,6.187573E-6,-1584.967
440,4.0E-6,500.0,8.250157E-6,-1584.967
441,5.0E-6,500.0,1.031277E-5,-1584.967
442,6.0E-6,500.0,1.237541E-5,-1584.967
443,7.0E-6,500.0,1.443809E-5,-1584.967
444,8.0E-6,500.0,1.65008E-5,-1584.967
445,9.0E-6,500.0,1.856353E-5,-1584.967
446,1.0E-5,500.0,2.06263E-5,-1584.967
447,2.0E-5,500.0,4.125561E-5,-1584.967
448,3.0E-5,500.0,6.188794E-5,-1584.967
449,4.0E-5,500.0,8.252326E-5,-1584.967
450,5.0E-5,500.0,1.031616E-4,-1584.967
451,6.0E-5,500.0,1.23803E-4,-1584.967
452,7.0E-5,500.0,1.444474E-4,-1584.967
453,8.0E-5,500.0,1.650948E-4,-1584.967
454,9.0E-5,500.0,1.857452E-4,-1584.967
455,1.0E-4,500.0,2.063987E-4,-1584.967
456,2.0E-4,500.0,4.130995E-4,-1584.967
457,3.0E-4,500.0,6.20103E-4,-1584.968
458,4.0E-4,500.0,8.274103E-4,-1584.968
459,5.0E-4,500.0,0.001035022,-1584.968
460,6.0E-4,500.0,0.001242939,-1584.968
461,7.0E-4,500.0,0.001451163,-1584.968
462,8.0E-4,500.0,0.001659693,-1584.969
463,9.0E-4,500.0,0.00186853,-1584.97
464,0.001,500.0,0.002077677,-1584.97
465,0.002,500.0,0.004186298,-1584.972
466,0.003,500.0,0.006326692,-1584.976
467,0.004,500.0,0.008499708,-1584.978
468,0.005,500.0,0.01070622,-1584.981
469,0.006,500.0,0.0129471,-1584.984
470,0.007,500.0,0.01522326,-1584.987
471,0.008,500.0,0.01753562,-1584.989
472,0.009,500.0,0.01988511,-1584.992
473,0.01,500.0,0.0222727,-1584.994
474,0.02,500.0,0.04846822,-1585.015
475,0.03,500.0,0.07967164,-1585.028
476,0.04,500.0,0.1171737,-1585.031
477,0.05,500.0,0.162484,-1585.022
478,0.06,500.0,0.2173384,-1584.999
479,0.07,500.0,0.2837029,-1584.959
480,0.08,500.0,0.3637817,-1584.9
481,0.09,500.0,0.4599697,-1584.82
482,0.1,500.0,0.574915,-1584.715
483,0.2,500.0,3.453938,-1580.838
484,0.3,500.0,10.29,-1572.399
485,0.4,500.0,22.342,-1560.408
486,0.5,500.0,40.828,-1545.962
487,0.6,500.0,65.331,-1530.104
488,0.7,500.0,97.07,-1512.651
489,0.8,500.0,135.337,-1494.803
490,0.9,500.0,177.577,-1476.804
491,1.0,500.0,224.516,-1458.314
492,1.2,500.0,327.3117,-1416.608
493,1.4,500.0,472.589,-1369.732
494,1.6,500.0,642.769,-1320.128
495,1.8,500.0,846.916,-1269.917
496,2.0,500.0,1077.813,-1217.85
497,2.2,500.0,1333.66,-1164.264
498,3.0,500.0,2610.54,-940.4423
499,4.0,500.0,4740.76,-649.5093
500,5.0,500.0,7429.59,-354.991
501,9.0,500.0,23065.4,771.74
502,12.0,500.0,39606.8,1611.14
503,15.0,500.0,59880.8,2423.31
504,20.0,500.0,101408.0,3724.93
505,30.0,500.0,210851.0,6160.16
506,50.0,500.0,523226.0,10581.4
507,70.0,500.0,945765.0,14600.3
508,100.0,500.0,1763059.0,20143.42
509,150.0,500.0,3565039.0,28473.1
510,200.0,500.0,5859988.0,36076.75
511,250.0,500.0,8604912.0,43168.97
512,300.0,500.0,1.176909E7,49871.78
513,350.0,500.0,1.532899E7,56263.24
514,400.0,500.0,1.926571E7,62397.19
515,450.0,500.0,2.356358E7,68312.78
516,500.0,500.0,2.820932E7,74039.7
517,600.0,500.0,3.849984E7,85015.57
518,700.0,500.0,5.006068E7,95461.58
519,800.0,500.0,6.283047E7,105471.3
520,900.0,500.0,7.675842E7,115112.5
521,1000.0,500.0,9.180139E7,124436.3
522,1200.0,500.0,1.250885E8,142282.0
523,1400.0,500.0,1.624441E8,159241.7
524,1600.0,500.0,2.036701E8,175474.4
525,1800.0,500.0,2.485793E8,191097.4
526,3.0E-8,700.0,8.662415E-8,-1582.918
527,4.0E-8,700.0,1.154988E-7,-1582.918
528,5.0E-8,700.0,1.443736E-7,-1582.918
529,6.0E-8,700.0,1.732484E-7,-1582.918
530,7.0E-8,700.0,2.021231E-7,-1582.918
531,8.0E-8,700.0,2.309978E-7,-1582.918
532,9.0E-8,700.0,2.598726E-7,-1582.918
533,1.0E-7,700.0,2.887473E-7,-1582.918
534,2.0E-7,700.0,5.774951E-7,-1582.918
535,3.0E-7,700.0,8.662431E-7,-1582.918
536,4.0E-7,700.0,1.154991E-6,-1582.918
537,5.0E-7,700.0,1.443741E-6,-1582.918
538,6.0E-7,700.0,1.732491E-6,-1582.918
539,7.0E-7,700.0,2.021241E-6,-1582.918
540,8.0E-7,700.0,2.309991E-6,-1582.918
541,9.0E-7,700.0,2.598742E-6,-1582.918
542,1.0E-6,700.0,2.887493E-6,-1582.918
543,2.0E-6,700.0,5.77503E-6,-1582.918
544,3.0E-6,700.0,8.662612E-6,-1582.918
545,4.0E-6,700.0,1.155024E-5,-1582.918
546,5.0E-6,700.0,1.44379E-5,-1582.918
547,6.0E-6,700.0,1.732561E-5,-1582.918
548,7.0E-6,700.0,2.021337E-5,-1582.918
549,8.0E-6,700.0,2.310117E-5,-1582.918
550,9.0E-6,700.0,2.598901E-5,-1582.918
551,1.0E-5,700.0,2.88769E-5,-1582.918
552,2.0E-5,700.0,5.775819E-5,-1582.918
553,3.0E-5,700.0,8.664385E-5,-1582.918
554,4.0E-5,700.0,1.155339E-4,-1582.918
555,5.0E-5,700.0,1.444283E-4,-1582.918
556,6.0E-5,700.0,1.733272E-4,-1582.918
557,7.0E-5,700.0,2.022304E-4,-1582.918
558,8.0E-5,700.0,2.31138E-4,-1582.918
559,9.0E-5,700.0,2.6005E-4,-1582.918
560,1.0E-4,700.0,2.889664E-4,-1582.918
561,2.0E-4,700.0,5.783722E-4,-1582.919
562,3.0E-4,700.0,8.682182E-4,-1582.919
563,4.0E-4,700.0,0.001158506,-1582.919
564,5.0E-4,700.0,0.001449236,-1582.919
565,6.0E-4,700.0,0.001740409,-1582.919
566,7.0E-4,700.0,0.002032026,-1582.919
567,8.0E-4,700.0,0.002324088,-1582.919
568,9.0E-4,700.0,0.002616597,-1582.919
569,0.001,700.0,0.002909553,-1582.919
570,0.002,700.0,0.005863934,-1582.92
571,0.003,700.0,0.008864149,-1582.921
572,0.004,700.0,0.01191123,-1582.921
573,0.005,700.0,0.0150062,-1582.922
574,0.006,700.0,0.01815014,-1582.922
575,0.007,700.0,0.02134413,-1582.922
576,0.008,700.0,0.02458926,-1582.923
577,0.009,700.0,0.02788659,-1582.923
578,0.01,700.0,0.03123729,-1582.923
579,0.02,700.0,0.06794165,-1582.919
580,0.03,700.0,0.1113627,-1582.904
581,0.04,700.0,0.1629412,-1582.876
582,0.05,700.0,0.2243143,-1582.834
583,0.06,700.0,0.2973184,-1582.773
584,0.07,700.0,0.3839886,-1582.694
